Wavenumber=11742.532,Intensity=0.347643320956261
Wavenumber=11743.5281,Intensity=0.0949090539831972
Wavenumber=11745.1638,Intensity=0.159938047578014
Wavenumber=11746.357,Intensity=0.0810063310160281
Wavenumber=11746.9031,Intensity=0.175416988767202
Wavenumber=11747.7699,Intensity=0.0841009470750316
Wavenumber=11748.2732,Intensity=0.267639771172505
Wavenumber=11748.9665,Intensity=0.393119909831173
Wavenumber=11748.9665,Intensity=0.393119909831173
Wavenumber=11749.8826,Intensity=0.148372080876873
Wavenumber=11751.2979,Intensity=0.0827540567617584
Wavenumber=11752.1641999999,Intensity=0.0757227100570046
Wavenumber=11752.4021,Intensity=0.176169016082464
Wavenumber=11752.5593,Intensity=0.296634900478181
Wavenumber=11752.8692,Intensity=0.0673253061390117
Wavenumber=11753.9343,Intensity=0.33561270256529
Wavenumber=11755.5017,Intensity=0.0512737023085188
Wavenumber=11758.7078,Intensity=0.163650970211711
Wavenumber=11759.6673,Intensity=0.0819834237715481
Wavenumber=11760.324,Intensity=0.134054179270786
Wavenumber=11761.3572,Intensity=0.331527666432629
Wavenumber=11761.8122,Intensity=0.147543812208596
Wavenumber=11763.0095,Intensity=0.14515339146431
Wavenumber=11763.8835,Intensity=0.243049078971492
Wavenumber=11763.8835,Intensity=0.243049078971492
Wavenumber=11764.2478,Intensity=0.113965399724633
Wavenumber=11765.196,Intensity=0.330003492950843
Wavenumber=11765.7359,Intensity=0.087861090755456
Wavenumber=11766.531,Intensity=0.260402980590764
Wavenumber=11767.0225,Intensity=0.0673195091818686
Wavenumber=11767.8971,Intensity=0.659096977296047
Wavenumber=11770.6868,Intensity=0.0763598780547549
Wavenumber=11772.2019,Intensity=0.142896528065968
Wavenumber=11772.7275,Intensity=0.0857646808792143
Wavenumber=11773.5603,Intensity=0.372144700234231
Wavenumber=11773.5603,Intensity=0.372144700234231
Wavenumber=11773.5603,Intensity=0.372144700234231
Wavenumber=11774.5288,Intensity=0.0724728548956838
Wavenumber=11776.2859,Intensity=0.308844087882325
Wavenumber=11777.0564,Intensity=0.0786055027445182
Wavenumber=11779.5066,Intensity=0.135930631564841
Wavenumber=11779.6419,Intensity=0.173691712022173
Wavenumber=11780.4773,Intensity=0.210414767736955
Wavenumber=11780.4773,Intensity=0.210414767736955
Wavenumber=11780.694,Intensity=0.110894163305284
Wavenumber=11781.1913,Intensity=0.0846752010379054
Wavenumber=11781.9517,Intensity=0.0581295134568403
Wavenumber=11784.1755,Intensity=0.14588456110044
Wavenumber=11784.881,Intensity=0.104841458052934
Wavenumber=11785.4636,Intensity=0.33470053430895
Wavenumber=11785.4636,Intensity=0.33470053430895
Wavenumber=11785.5515,Intensity=0.152461990431838
Wavenumber=11786.7931,Intensity=0.108289120168535
Wavenumber=11787.1843,Intensity=0.275352963648873
Wavenumber=11787.8952,Intensity=0.0732852813894147
Wavenumber=11788.5517,Intensity=0.0630751988100552
Wavenumber=11788.9775,Intensity=0.070603222551209
Wavenumber=11793.7341,Intensity=0.0998715831910521
Wavenumber=11794.7156,Intensity=0.23705594882037
Wavenumber=11794.7156,Intensity=0.23705594882037
Wavenumber=11795.8692,Intensity=0.122257726690293
Wavenumber=11796.8201,Intensity=0.142169890854664
Wavenumber=11797.0671,Intensity=0.215388215968253
Wavenumber=11797.4741,Intensity=0.0904788786729833
Wavenumber=11797.8386,Intensity=0.260023223064979
Wavenumber=11799.0408,Intensity=0.115777041185335
Wavenumber=11801.0216,Intensity=0.0702964811106151
Wavenumber=11803.4315,Intensity=0.0776158783316448
Wavenumber=11805.1101,Intensity=0.144885864733802
Wavenumber=11805.5418,Intensity=0.0790755890816699
Wavenumber=11805.9408,Intensity=0.0792194687054679
Wavenumber=11808.1501,Intensity=0.284749035517047
Wavenumber=11808.4912,Intensity=0.111668824328215
Wavenumber=11808.6609,Intensity=0.121016424825571
Wavenumber=11809.9695,Intensity=0.0906322991220793
Wavenumber=11810.4017,Intensity=0.0820569939776435
Wavenumber=11811.7517,Intensity=0.071150182507534
Wavenumber=11812.4119,Intensity=0.134022139715988
Wavenumber=11813.3054,Intensity=0.0915632151356505
Wavenumber=11813.5878,Intensity=0.0787155099520683
Wavenumber=11814.2517,Intensity=0.0620325919138813
Wavenumber=11815.2154,Intensity=0.0969043510027997
Wavenumber=11815.4431,Intensity=0.163712435007301
Wavenumber=11818.0477,Intensity=0.175511231945462
Wavenumber=11818.9717,Intensity=0.0778939546716598
Wavenumber=11819.9997,Intensity=0.108603441698922
Wavenumber=11824.4787,Intensity=0.141872512636514
Wavenumber=11825.5583,Intensity=0.133113012020502
Wavenumber=11825.9216,Intensity=0.0908085806104969
Wavenumber=11826.1836,Intensity=0.067187081390074
Wavenumber=11827.0633,Intensity=0.141964837703955
Wavenumber=11829.7489,Intensity=0.0867307764660362
Wavenumber=11831.0837,Intensity=0.0993202613086415
Wavenumber=11833.8759,Intensity=0.082782807111707
Wavenumber=11835.5583,Intensity=0.112173628471198
Wavenumber=11838.7673,Intensity=0.0801637191412911
Wavenumber=11840.1016999999,Intensity=0.0749809339784551
Wavenumber=11840.4707,Intensity=0.075912709589838
Wavenumber=11841.8152,Intensity=0.0883745548135829
Wavenumber=11843.273,Intensity=0.0789461805383873
Wavenumber=11845.3162,Intensity=0.114992150238033
Wavenumber=11847.6481,Intensity=0.101791278227913
Wavenumber=11850.863,Intensity=0.0890086609381363
Wavenumber=11851.155,Intensity=0.0896350306823848
Wavenumber=11851.9763,Intensity=0.0667190978707094
Wavenumber=11852.3768,Intensity=0.0722953372914047
Wavenumber=11852.6568,Intensity=0.0853032544572065
Wavenumber=11854.7439,Intensity=0.111292732525328
Wavenumber=11855.0193,Intensity=0.116936347364584
Wavenumber=11857.7433,Intensity=0.0923636925093879
Wavenumber=11859.7595,Intensity=0.11743389110291
Wavenumber=11860.936,Intensity=0.102476398996149
Wavenumber=11861.7266999999,Intensity=0.09896184454175
Wavenumber=11861.9529,Intensity=0.0766090264419675
Wavenumber=11862.3393,Intensity=0.0658053240845724
Wavenumber=11863.6332,Intensity=0.0874963300146322
Wavenumber=11868.1493,Intensity=0.0890951535278633
Wavenumber=11868.976,Intensity=0.0741631225662015
Wavenumber=11869.2912,Intensity=0.0961797242557986
Wavenumber=11869.7009,Intensity=0.177833836816111
Wavenumber=11869.7009,Intensity=0.177833836816111
Wavenumber=11870.8445,Intensity=0.158350207025253
Wavenumber=11871.3487,Intensity=0.0697931546233745
Wavenumber=11873.7048,Intensity=0.157129947546631
Wavenumber=11875.4419,Intensity=0.203298121933651
Wavenumber=11876.3223,Intensity=0.0768725322438691
Wavenumber=11877.2083,Intensity=0.092425754050567
Wavenumber=11877.6093,Intensity=0.0831985256632998
Wavenumber=11878.5017,Intensity=0.0917571503477208
Wavenumber=11878.6404,Intensity=0.243505646179424
Wavenumber=11880.458,Intensity=0.0753983433092146
Wavenumber=11880.458,Intensity=0.0753983433092146
Wavenumber=11880.7156,Intensity=0.194361373669698
Wavenumber=11885.6016999999,Intensity=0.0626265455852818
Wavenumber=11885.9509,Intensity=0.193049627409105
Wavenumber=11886.7562,Intensity=0.152658674936083
Wavenumber=11887.1453,Intensity=0.208401973284212
Wavenumber=11887.9587,Intensity=0.19903690377017
Wavenumber=11890.2943,Intensity=0.0636681792178177
Wavenumber=11891.8318,Intensity=0.237466353494582
Wavenumber=11892.3907,Intensity=0.0629717131792911
Wavenumber=11894.7449,Intensity=0.177138514539962
Wavenumber=11896.7685,Intensity=0.0831745279657148
Wavenumber=11897.2488,Intensity=0.243089259841102
Wavenumber=11898.3017,Intensity=0.0579189759300109
Wavenumber=11899.4783,Intensity=0.0761031566818627
Wavenumber=11900.1746,Intensity=0.257866612925464
Wavenumber=11900.6218,Intensity=0.202433451784491
Wavenumber=11902.5134,Intensity=0.224143141534755
Wavenumber=11902.7956,Intensity=0.283341596838908
Wavenumber=11906.1016999999,Intensity=0.0971031951577449
Wavenumber=11906.3728,Intensity=0.272921935788129
Wavenumber=11910.0242,Intensity=0.203464713410374
Wavenumber=11911.1154,Intensity=0.0649947162440628
Wavenumber=11912.2488,Intensity=0.092578300693623
Wavenumber=11912.7517,Intensity=0.118981813638285
Wavenumber=11912.863,Intensity=0.288687499566649
Wavenumber=11913.5369,Intensity=0.306942231276084
Wavenumber=11914.5964,Intensity=0.0904265284558418
Wavenumber=11914.9294,Intensity=0.25626881240467
Wavenumber=11915.2917,Intensity=0.245591982421807
Wavenumber=11915.2917,Intensity=0.245591982421807
Wavenumber=11916.4739,Intensity=0.0704597833824881
Wavenumber=11917.2722,Intensity=0.203404470522416
Wavenumber=11920.9997,Intensity=0.083837540730728
Wavenumber=11922.905,Intensity=0.0997497760499057
Wavenumber=11923.9997,Intensity=0.407140419010882
Wavenumber=11924.072,Intensity=0.281840525936325
Wavenumber=11924.2429,Intensity=0.203595144946093
Wavenumber=11925.2351,Intensity=0.301662908306119
Wavenumber=11928.9119,Intensity=0.261592692378559
Wavenumber=11928.9119,Intensity=0.261592692378559
Wavenumber=11929.9011,Intensity=0.120370234602856
Wavenumber=11930.6199,Intensity=0.0997249258586231
Wavenumber=11930.9558,Intensity=0.219569271307711
Wavenumber=11932.3787,Intensity=0.291355435425933
Wavenumber=11933.3025,Intensity=1
Wavenumber=11933.8025,Intensity=0.119179343532113
Wavenumber=11934.2917,Intensity=0.282283396412184
Wavenumber=11935.0783,Intensity=0.0828747272446415
Wavenumber=11935.7017,Intensity=0.0497170630250864
Wavenumber=11936.5642,Intensity=0.0996958203029672
Wavenumber=11937.1238,Intensity=0.193001603597478
Wavenumber=11937.3152,Intensity=0.317020269685813
Wavenumber=11937.7389,Intensity=0.135611074302328
Wavenumber=11938.7898,Intensity=0.102602610688066
Wavenumber=11940.5632,Intensity=0.270781949275716
Wavenumber=11942.5955,Intensity=0.272376709235655
Wavenumber=11943.0118,Intensity=0.102421235549806
Wavenumber=11943.574,Intensity=0.214731341157861
Wavenumber=11943.9001,Intensity=0.0922615637644257
Wavenumber=11944.282,Intensity=0.355660654767446
Wavenumber=11944.6101,Intensity=0.101948861687899
Wavenumber=11945.3484,Intensity=0.0914232853993177
Wavenumber=11947.6228,Intensity=0.122486379708195
Wavenumber=11948.4978,Intensity=0.300615648215179
Wavenumber=11949.1179,Intensity=0.333523155263313
Wavenumber=11949.4871,Intensity=0.178761861455225
Wavenumber=11950.2091,Intensity=0.0645633544331207
Wavenumber=11951.0251,Intensity=0.0855073556566196
Wavenumber=11954.0242,Intensity=0.354715466588556
Wavenumber=11955.1872,Intensity=0.219230888142711
Wavenumber=11955.1872,Intensity=0.219230888142711
Wavenumber=11955.7546,Intensity=0.145161404905067
Wavenumber=11956.0046,Intensity=0.306186751361347
Wavenumber=11956.1013,Intensity=0.191030567127684
Wavenumber=11956.1912,Intensity=0.283034841190086
Wavenumber=11956.1912,Intensity=0.283034841190086
Wavenumber=11957.9724,Intensity=0.0849233619532517
Wavenumber=11959.7576,Intensity=0.124671647844174
Wavenumber=11960.6345,Intensity=0.429848634629044
Wavenumber=11960.6345,Intensity=0.429848634629044
Wavenumber=11963.5447,Intensity=0.399590365411762
Wavenumber=11963.6521,Intensity=0.274721663649407
Wavenumber=11964.6218,Intensity=0.0959773919808077
Wavenumber=11964.7976,Intensity=0.117485935843143
Wavenumber=11965.7703,Intensity=0.160079035827355
Wavenumber=11965.7703,Intensity=0.160079035827355
Wavenumber=11968.199,Intensity=0.129140746595794
Wavenumber=11969.1199,Intensity=0.300419432582468
Wavenumber=11970.8484,Intensity=0.352526035441687
Wavenumber=11970.8484,Intensity=0.352526035441687
Wavenumber=11971.1619,Intensity=0.0870411836295294
Wavenumber=11971.9187,Intensity=0.334067046242327
Wavenumber=11972.7986,Intensity=0.323945246489459
Wavenumber=11973.1199,Intensity=0.0988724747857939
Wavenumber=11973.8337,Intensity=0.10221985522611
