Wavenumber=462.233901,Intensity=0.208204862145822
Wavenumber=462.24689,Intensity=0.315240435082474
Wavenumber=462.252652,Intensity=0.104330006337343
Wavenumber=462.286399,Intensity=0.0683122323698818
Wavenumber=462.296279,Intensity=0.19457457414614
Wavenumber=462.301896,Intensity=0.0946103608475777
Wavenumber=462.35535,Intensity=0.0919229502659648
Wavenumber=462.372339,Intensity=0.351946694170156
Wavenumber=462.388216,Intensity=0.0993176507208415
Wavenumber=462.4171427,Intensity=0.0673713711626959
Wavenumber=462.460332,Intensity=0.240784779280567
Wavenumber=462.47304,Intensity=0.348537797673863
Wavenumber=462.484644,Intensity=0.0911739029211425
Wavenumber=462.521495,Intensity=0.175081693150443
Wavenumber=462.532987,Intensity=0.0606356746222566
Wavenumber=462.582438,Intensity=0.104341309202458
Wavenumber=462.599898,Intensity=0.352816546001575
Wavenumber=462.614343,Intensity=0.058093385685367
Wavenumber=462.621037,Intensity=0.0914250140396616
Wavenumber=462.643437,Intensity=0.0997503071343387
Wavenumber=462.687148,Intensity=0.255217682318265
Wavenumber=462.699237,Intensity=0.374683237019132
Wavenumber=462.705278,Intensity=0.105230098355612
Wavenumber=462.716404,Intensity=0.109751482513255
Wavenumber=462.746975,Intensity=0.190411920157811
Wavenumber=462.764098,Intensity=0.0899146045101453
Wavenumber=462.778201,Intensity=0.0585535700445471
Wavenumber=462.809769,Intensity=0.101913738021642
Wavenumber=462.827809,Intensity=0.381964484686381
Wavenumber=462.842902,Intensity=0.0549802276502696
Wavenumber=462.854528,Intensity=0.108290667187814
Wavenumber=462.871471,Intensity=0.0916623965300457
Wavenumber=462.914038,Intensity=0.264731584410779
Wavenumber=462.919868,Intensity=0.103155847743755
Wavenumber=462.926005,Intensity=0.369252176846994
Wavenumber=462.941226,Intensity=0.0524249988302762
Wavenumber=462.947768,Intensity=0.109921457067447
Wavenumber=462.97291,Intensity=0.199225416662748
Wavenumber=462.995195,Intensity=0.0663917423931346
Wavenumber=463.028803,Intensity=0.0556411736633212
Wavenumber=463.037627,Intensity=0.119486530854098
Wavenumber=463.055869,Intensity=0.397985057061685
Wavenumber=463.071023,Intensity=0.0632599111914765
Wavenumber=463.087406,Intensity=0.115670068965484
Wavenumber=463.0975484,Intensity=0.0713474423052356
Wavenumber=463.102209,Intensity=0.0849628632051812
Wavenumber=463.121915,Intensity=0.0563007207700914
Wavenumber=463.141454,Intensity=0.271540983965677
Wavenumber=463.1467979,Intensity=0.121749120385589
Wavenumber=463.15278,Intensity=0.391596043726358
Wavenumber=463.179117,Intensity=0.122589937470675
Wavenumber=463.187905,Intensity=0.0692217149186152
Wavenumber=463.19922,Intensity=0.206611120959676
Wavenumber=463.226882,Intensity=0.088507007151328
Wavenumber=463.26443,Intensity=0.124016546561137
Wavenumber=463.284121,Intensity=0.405049027795851
Wavenumber=463.300833,Intensity=0.0595834292229022
Wavenumber=463.311155,Intensity=0.0680534867947414
Wavenumber=463.321036,Intensity=0.106679945660527
Wavenumber=463.331857,Intensity=0.0959832385430468
Wavenumber=463.368994,Intensity=0.26943330842288
Wavenumber=463.379929,Intensity=0.417743001033762
Wavenumber=463.412089,Intensity=0.127060827064348
Wavenumber=463.425803,Intensity=0.206189603709495
Wavenumber=463.431448,Intensity=0.0811019041912304
Wavenumber=463.439926,Intensity=0.0453387869744324
Wavenumber=463.458427,Intensity=0.0815946986928501
Wavenumber=463.476969,Intensity=0.0502312607872044
Wavenumber=463.493275,Intensity=0.101065331125879
Wavenumber=463.512662,Intensity=0.428510710086019
Wavenumber=463.518535,Intensity=0.0757055041545135
Wavenumber=463.5300554,Intensity=0.0523952125438676
Wavenumber=463.534605,Intensity=0.0642406189047123
Wavenumber=463.554642,Intensity=0.145096330472382
Wavenumber=463.562294,Intensity=0.0767096584299462
Wavenumber=463.589044,Intensity=0.0737298541125285
Wavenumber=463.597238,Intensity=0.238846549981612
Wavenumber=463.607113,Intensity=0.463537269661152
Wavenumber=463.617881,Intensity=0.0715592873149917
Wavenumber=463.643864,Intensity=0.140969601587919
Wavenumber=463.652908,Intensity=0.222724914068461
Wavenumber=463.658275,Intensity=0.0660075417121113
Wavenumber=463.690186,Intensity=0.0981338262801272
Wavenumber=463.701841,Intensity=0.0457801679497118
Wavenumber=463.713262,Intensity=0.0530016198144181
Wavenumber=463.721103,Intensity=0.124251570257419
Wavenumber=463.730715,Intensity=0.0500358752492286
Wavenumber=463.741437,Intensity=0.446807600620948
Wavenumber=463.75923,Intensity=0.0779761225151406
Wavenumber=463.781319,Intensity=0.096000754635529
Wavenumber=463.78828,Intensity=0.130784566765868
Wavenumber=463.793389,Intensity=0.0871116948684189
Wavenumber=463.816462,Intensity=0.0811341906505676
Wavenumber=463.821416,Intensity=0.128633495364382
Wavenumber=463.826233,Intensity=0.23752900349417
Wavenumber=463.834426,Intensity=0.491699247293176
Wavenumber=463.849123,Intensity=0.0687371352709039
Wavenumber=463.864235,Intensity=0.0552819672705934
Wavenumber=463.880064,Intensity=0.24391916274209
Wavenumber=463.922186,Intensity=0.084822965136041
Wavenumber=463.937659,Intensity=0.0697553902240143
Wavenumber=463.949576,Intensity=0.131014865432954
Wavenumber=463.970318,Intensity=0.473499774210573
Wavenumber=463.988882,Intensity=0.0720015351657061
Wavenumber=463.996542,Intensity=0.0532346307226726
Wavenumber=464.008668,Intensity=0.0930490847045492
Wavenumber=464.022779,Intensity=0.173221698429379
Wavenumber=464.043046,Intensity=0.0860221477818882
Wavenumber=464.048475,Intensity=0.15146491084681
Wavenumber=464.054792,Intensity=0.236707577631262
Wavenumber=464.062064,Intensity=0.506096552630605
Wavenumber=464.068334,Intensity=0.105015388564376
Wavenumber=464.108027,Intensity=0.28960065571202
Wavenumber=464.154447,Intensity=0.107065746154585
Wavenumber=464.1642541,Intensity=0.0597884657260222
Wavenumber=464.178149,Intensity=0.132969003570366
Wavenumber=464.189678,Intensity=0.0607106165616931
Wavenumber=464.199528,Intensity=0.493117738262611
Wavenumber=464.218479,Intensity=0.0624613440524874
Wavenumber=464.238396,Intensity=0.0661392026043706
Wavenumber=464.255585,Intensity=0.167050587070368
Wavenumber=464.270524,Intensity=0.0819297441882587
Wavenumber=464.275951,Intensity=0.1435294810272
Wavenumber=464.284149,Intensity=0.25655976919356
Wavenumber=464.290137,Intensity=0.553697106907037
Wavenumber=464.335788,Intensity=0.244803837027299
Wavenumber=464.341789,Intensity=0.17602360353734
Wavenumber=464.35302,Intensity=0.0730223795836355
Wavenumber=464.387557,Intensity=0.109044952990201
Wavenumber=464.406987,Intensity=0.149781103907306
Wavenumber=464.428898,Intensity=0.521727157556969
Wavenumber=464.44862,Intensity=0.0679558312307077
Wavenumber=464.460492,Intensity=0.0706917124267762
Wavenumber=464.46779,Intensity=0.0759109722351034
Wavenumber=464.485896,Intensity=0.108931448115638
Wavenumber=464.490551,Intensity=0.162372153359655
Wavenumber=464.497171,Intensity=0.109727388584853
Wavenumber=464.503385,Intensity=0.154010890515165
Wavenumber=464.5132,Intensity=0.266570669947529
Wavenumber=464.518445,Intensity=0.58609345479729
Wavenumber=464.542331,Intensity=0.0827944691769752
Wavenumber=464.563985,Intensity=0.245623194294748
Wavenumber=464.574685,Intensity=0.166084895276685
Wavenumber=464.589335,Intensity=0.0566001388012671
Wavenumber=464.601664,Intensity=0.06997970633445
Wavenumber=464.617577,Intensity=0.113835068532716
Wavenumber=464.636292,Intensity=0.1646914358005
Wavenumber=464.658493,Intensity=0.545954249930858
Wavenumber=464.678773,Intensity=0.0785948111411039
Wavenumber=464.697726,Intensity=0.0721924933141209
Wavenumber=464.716678,Intensity=0.12210428632028
Wavenumber=464.725159,Intensity=0.196657873002883
Wavenumber=464.731139,Intensity=0.178336590899918
Wavenumber=464.746351,Intensity=0.591214463762315
Wavenumber=464.769018,Intensity=0.080549031129415
Wavenumber=464.777181,Intensity=0.065555680101207
Wavenumber=464.792608,Intensity=0.233661563377181
Wavenumber=464.798226,Intensity=0.0905546562208648
Wavenumber=464.807702,Intensity=0.167975770109814
Wavenumber=464.826807,Intensity=0.078823227237503
Wavenumber=464.842084,Intensity=0.0712796325555375
Wavenumber=464.851975,Intensity=0.124663793710017
Wavenumber=464.865505,Intensity=0.177651320287748
Wavenumber=464.882295,Intensity=0.094981576999552
Wavenumber=464.888434,Intensity=0.550642371811669
Wavenumber=464.898493,Intensity=0.0772798466774904
Wavenumber=464.909052,Intensity=0.0791416793232961
Wavenumber=464.927499,Intensity=0.0654882126370883
Wavenumber=464.948467,Intensity=0.103804516121889
Wavenumber=464.953703,Intensity=0.100901941848597
Wavenumber=464.959326,Intensity=0.257627759729572
Wavenumber=464.974947,Intensity=0.679497296182034
Wavenumber=464.995919,Intensity=0.0848278464260445
Wavenumber=465.021746,Intensity=0.24770293635786
Wavenumber=465.027796,Intensity=0.105073272032268
Wavenumber=465.0329091,Intensity=0.0834322439444919
Wavenumber=465.041304,Intensity=0.151739572701398
Wavenumber=465.069302,Intensity=0.0780112439919952
Wavenumber=465.084533,Intensity=0.106099451640643
Wavenumber=465.094797,Intensity=0.191439967454892
Wavenumber=465.106789,Intensity=0.0584660081846137
Wavenumber=465.118523,Intensity=0.573157500536644
Wavenumber=465.141116,Intensity=0.132373694537682
Wavenumber=465.159194,Intensity=0.0835381515673882
Wavenumber=465.180652,Intensity=0.165701952123117
Wavenumber=465.187088,Intensity=0.181910186287885
Wavenumber=465.194176,Intensity=0.178680647435257
Wavenumber=465.204211,Intensity=0.709777247688203
Wavenumber=465.223861,Intensity=0.0969801080884285
Wavenumber=465.241674,Intensity=0.0965123450800585
Wavenumber=465.250971,Intensity=0.258901776420488
Wavenumber=465.257216,Intensity=0.107157634950703
Wavenumber=465.274752,Intensity=0.148255075737977
Wavenumber=465.29539,Intensity=0.0827703975715463
Wavenumber=465.302183,Intensity=0.0585383681002222
Wavenumber=465.317841,Intensity=0.132696797242762
Wavenumber=465.324144,Intensity=0.202326047789734
Wavenumber=465.333546,Intensity=0.0710478828952336
Wavenumber=465.348833,Intensity=0.582255927463554
Wavenumber=465.371184,Intensity=0.168615367920091
Wavenumber=465.390266,Intensity=0.0775579090649008
Wavenumber=465.410776,Intensity=0.150331707466909
Wavenumber=465.415393,Intensity=0.191745449893618
Wavenumber=465.433737,Intensity=0.678053684427459
Wavenumber=465.451322,Intensity=0.0847973458045134
Wavenumber=465.466665,Intensity=0.0433159833733738
Wavenumber=465.48077,Intensity=0.254631302474612
Wavenumber=465.486357,Intensity=0.105337642996498
Wavenumber=465.508151,Intensity=0.14781011936659
Wavenumber=465.522067,Intensity=0.0717200350405189
Wavenumber=465.540512,Intensity=0.0582022622636161
Wavenumber=465.552898,Intensity=0.225052902468611
Wavenumber=465.5586239,Intensity=0.076774268553575
Wavenumber=465.579389,Intensity=0.594271222807197
Wavenumber=465.601297,Intensity=0.122871050664338
Wavenumber=465.622576,Intensity=0.0705684003262607
Wavenumber=465.638407,Intensity=0.106018761535768
Wavenumber=465.643867,Intensity=0.272820209350194
Wavenumber=465.662624,Intensity=0.667356158800984
Wavenumber=465.667289,Intensity=0.344893021767339
Wavenumber=465.68073,Intensity=0.0821610994760471
Wavenumber=465.71086,Intensity=0.285927961207793
Wavenumber=465.730799,Intensity=0.077765520150858
Wavenumber=465.741834,Intensity=0.184445555103276
Wavenumber=465.749906,Intensity=0.0922616790518487
Wavenumber=465.784243,Intensity=0.316908199245686
Wavenumber=465.810124,Intensity=0.63002941036755
Wavenumber=465.82754,Intensity=0.0729895127270112
Wavenumber=465.832814,Intensity=0.124132886453218
Wavenumber=465.843261,Intensity=0.0719405934505708
Wavenumber=465.854581,Intensity=0.0856506860772156
Wavenumber=465.861195,Intensity=0.0802360184079399
Wavenumber=465.867251,Intensity=0.109589819545852
Wavenumber=465.872981,Intensity=0.225182152479832
Wavenumber=465.883745,Intensity=0.137017944336388
Wavenumber=465.89181,Intensity=0.637757206778231
Wavenumber=465.898398,Intensity=0.423215492643003
Wavenumber=465.940952,Intensity=0.300193888410615
Wavenumber=465.947392,Intensity=0.09152912094277
Wavenumber=465.976106,Intensity=0.216053619303907
Wavenumber=466.003366,Intensity=0.0694150244201414
Wavenumber=466.014416,Intensity=0.229262419817371
Wavenumber=466.019022,Intensity=0.147581680947218
Wavenumber=466.041091,Intensity=0.654567119463858
Wavenumber=466.056648,Intensity=0.0774298793761807
Wavenumber=466.063848,Intensity=0.131562730707922
Wavenumber=466.080995,Intensity=0.0844385858712371
Wavenumber=466.088552,Intensity=0.1026209149109
Wavenumber=466.096206,Intensity=0.114448927955612
Wavenumber=466.101547,Intensity=0.243181195032656
Wavenumber=466.109132,Intensity=0.175596341842216
Wavenumber=466.121515,Intensity=0.649433192938702
Wavenumber=466.130033,Intensity=0.324821812080097
Wavenumber=466.135097,Intensity=0.239335095677451
Wavenumber=466.171927,Intensity=0.269459173307106
Wavenumber=466.18322,Intensity=0.0745779336046934
Wavenumber=466.195432,Intensity=0.05976124658146
Wavenumber=466.209891,Intensity=0.194585557048648
Wavenumber=466.220013,Intensity=0.0742130571769309
Wavenumber=466.238124,Intensity=0.100037142449972
Wavenumber=466.244499,Intensity=0.217625379803055
Wavenumber=466.252792,Intensity=0.153963565813302
Wavenumber=466.272293,Intensity=0.64803863219587
Wavenumber=466.295333,Intensity=0.114160522590908
Wavenumber=466.317428,Intensity=0.114244456967797
Wavenumber=466.330738,Intensity=0.208761016684606
Wavenumber=466.340707,Intensity=0.191442675975565
Wavenumber=466.351504,Intensity=0.661153348820913
Wavenumber=466.362366,Intensity=0.327482263951828
Wavenumber=466.369875,Intensity=0.243220974569789
Wavenumber=466.396335,Intensity=0.0762877616892311
Wavenumber=466.402812,Intensity=0.252260930190529
Wavenumber=466.409181,Intensity=0.106088736613806
Wavenumber=466.432976,Intensity=0.117845673313833
Wavenumber=466.444194,Intensity=0.193819760033402
Wavenumber=466.4637895,Intensity=0.0659817512377939
Wavenumber=466.469114,Intensity=0.0899525535635262
Wavenumber=466.474991,Intensity=0.239282800393694
Wavenumber=466.486231,Intensity=0.155667969415504
Wavenumber=466.492499,Intensity=0.0992847392182721
Wavenumber=466.503728,Intensity=0.694509763115758
Wavenumber=466.516174,Intensity=0.109979422386239
Wavenumber=466.52663,Intensity=0.137509585484425
Wavenumber=466.555114,Intensity=0.176343149448789
Wavenumber=466.560081,Intensity=0.235011671640622
Wavenumber=466.566158,Intensity=0.103078037302342
Wavenumber=466.574148,Intensity=0.171634520197171
Wavenumber=466.581614,Intensity=0.685645340469382
Wavenumber=466.595062,Intensity=0.301523653005047
Wavenumber=466.605788,Intensity=0.206842133961885
Wavenumber=466.624455,Intensity=0.0755845285251277
Wavenumber=466.634407,Intensity=0.256176200996759
Wavenumber=466.640755,Intensity=0.0893744853066623
Wavenumber=466.654726,Intensity=0.0731838416442852
Wavenumber=466.66176,Intensity=0.111798484216587
Wavenumber=466.678625,Intensity=0.194986358580278
Wavenumber=466.691188,Intensity=0.0570147731349037
Wavenumber=466.698717,Intensity=0.0785717068644867
Wavenumber=466.705687,Intensity=0.239396870783563
Wavenumber=466.720673,Intensity=0.160612522723298
Wavenumber=466.735347,Intensity=0.684809449320245
Wavenumber=466.747893,Intensity=0.126064299804546
Wavenumber=466.758479,Intensity=0.102775025272581
Wavenumber=466.789472,Intensity=0.285243925800106
Wavenumber=466.812062,Intensity=0.70062768627211
Wavenumber=466.817977,Intensity=0.175418100347179
Wavenumber=466.828031,Intensity=0.337911735323598
Wavenumber=466.842016,Intensity=0.207647695632281
Wavenumber=466.852909,Intensity=0.0642655834290443
Wavenumber=466.865882,Intensity=0.267355724247118
Wavenumber=466.872825,Intensity=0.105030337515011
